country| aconfci|aconfci992|agdproi|agdproi992|agninci|agninci992|agweali|agweali992|ahweali|ahweali992|andproi|andproi992|apweali|apweali992|ehfghgi|enfcari|enfghgi|enncari|entcari|entonai|inyixxi|khfghgi|knfcari|knfghgi|knncari|kntcari|kntghgi|kntonai|mconfci|mgdproi|mgninci|mgweali|mhweali|mndproi|mnninci|mnweali|npopuli|npopuli001|npopuli051|npopuli101|npopuli111|npopuli151|npopuli201|npopuli202|npopuli251|npopuli301|npopuli302|npopuli351|npopuli401|npopuli402|npopuli451|npopuli501|npopuli502|npopuli551|npopuli601|npopuli602|npopuli651|npopuli701|npopuli702|npopuli751|npopuli801|npopuli802|npopuli851|npopuli901|npopuli902|npopuli951|npopuli991|npopuli992|npopuli993|npopuli994|npopuli995|npopuli996|npopuli997|npopuli998|xlcusxi
MH| 638.400000| 1108.400000| 6366.500000| 11054.600000| 7379.500000| 12813.600000| 1914.800000| 3324.800000| 9604.500000| 16677| 5728.100000| 9946.200000| 14355| 24925.700000|    0|    0|    0|    0|    0|    0| 0.886471|    0|    0|    0|    0|    0|    0|    0| 27713016| 276387741| 320366496| 83127112| 416958363| 248674736| 292653472| 706319040| 43413| 4714| 5306| 4790|    0| 3600| 3203| 5797| 2595| 3535| 6988| 3453| 2977| 5441| 2464| 2122| 3794| 1672| 1286| 2215|  929|  498|  661|  163|   61|   98|   37|   11|   11|    0| 18411| 25002| 12784| 9234| 2984| 23303| 1698|  109|    1
MK| 64289.700000| 82619.700000| 361923.500000| 465114.100000| 348195.600000| 447472.100000| 31499.100000| 40480.100000| 654661.400000| 841316.500000| 297633.800000| 382494.300000| 885987.300000| 1138597.400000| 7.120827| 7.662339| 11.158611| 0.497138| 7.165200| 4.313469| 0.875968| 3.417930| 3.677851| 5.356029| 0.238622| 3.439229| 5.509654| 2.070425| 135720099840.000000| 764046606336.000000| 735066062848.000000| 66496905216.000000| 1382037345222.000000| 628326465536.000000| 599345987584.000000| 1936879910912.000000| 2111072| 108511| 116906| 114905|   35| 128043| 140588| 294571| 153982| 161249| 326158| 164909| 155045| 299838| 144794| 141755| 281834| 140079| 132398| 246775| 114377| 84577| 140010| 55433| 33912| 48997| 15085| 3926| 4494|  568| 468364| 1642708| 620727| 581672| 440310| 1334796| 307912| 53525| 54.144325
ML| 27868.300000| 67239.500000| 533162.300000| 1286393.600000| 510753.400000| 1232326.400000| 215382.800000| 519667.300000| 1292503.600000| 3118503.300000| 505294| 1219154.100000| 1989313.900000| 4799740.500000| 51.103473| 6.268981| 69.919781| 1.234086| 5.034895| 68.360380| 0.888384| 2.523525| 0.309567| 3.452687| 0.060940| 0.248627| 3.624309| 3.375683| 591477342208.000000| 11315857850368.000000| 10840251039744.000000| 4571292237824.000000| 27432148288823.000000| 10724380246016.000000| 10248773435392.000000| 46792569782272.000000| 21224040| 3909669| 3348276| 2846392|    0| 2323127| 1807087| 3282021| 1474934| 1260270| 2341604| 1081335| 868686| 1522639| 653953| 478272| 836714| 358443| 283873| 508299| 224426| 158628| 254641| 96013| 38617| 49198| 10580| 1426| 1463|   36| 12427465| 8796575| 5623624| 2359353| 813598| 8266848| 529726| 50659| 575.585999
MM| 160115.600000| 241755.500000| 3027012| 4570428.500000| 2889783.800000| 4363230| 2298501| 3470463.300000| 9038794| 13647505| 2866896.300000| 4328672.500000| 14415251| 21765316| 113.960156| 37.478958| 133.656102| 8.384804| 29.094154| 47.758328| 0.667334| 2.094479| 0.688827| 2.456471| 0.154105| 0.534723| 1.412475| 0.877752| 8553886121984.000000| 161712665788416.000000| 154381492158464.000000| 122793274376192.000000| 482881320539554.000000| 153158768656384.000000| 145827595026432.000000| 892902091784192.000000| 53423200| 4507562| 4420976| 4493304|   59| 4618972| 4475212| 8880989| 4405777| 4232675| 8363754| 4131079| 3736145| 7122943| 3386798| 3005649| 5530630| 2524981| 2036059| 3553748| 1517689| 949468| 1500472| 551004| 290211| 402699| 112488| 24776| 27097| 2321| 18040812| 35382388| 17244742| 12653572| 5484073| 31934374| 3448015| 429854| 1381.619167
MN| 2215673.300000| 3628721.800000| 18298750| 29968800| 16603485| 27192378| 5985581| 9802893| 53009824| 86816904| 16083076| 26340078| 70792232| 115940072| 48.035295| 51.690960| 78.048063|-9.236779| 60.927739| 24.651325| 0.621299| 14.652546| 15.767659| 23.807552|-2.817560| 18.585218| 26.104788| 7.519568| 7299170041856.000000| 60282210615296.000000| 54697440313344.000000| 19718509428736.000000| 174632123120717.000000| 52983039524864.000000| 47398269222912.000000| 252931848798208.000000| 3294335| 389020| 382805| 289018|   47| 221994| 233208| 495916| 262708| 297469| 546171| 248702| 221139| 417286| 196147| 167032| 310148| 143116| 101632| 158753| 57121| 34664| 59452| 24788| 14181| 21121| 6940| 2164| 2610|  445| 1282836| 2011499| 1042086| 727433| 241980| 1871151| 140348| 23777| 2813.289835
MO| 68395.800000| 83955.500000| 314779.800000| 386390.300000| 426523.700000| 523555.400000| 1170630.300000| 1436941.900000| 394020.300000| 483657.600000| 246383.900000| 302434.800000| 1159039.300000| 1422713.900000| 4.471678| 7.307446| 9.087904| 4.578977| 2.728469| 0.219154| 0.951102| 6.886549| 11.253738| 13.995709| 7.051795| 4.201944| 4.539449| 0.337506| 46254948352.000000| 212880198674.000000| 288450740224.000000| 791677370368.000000| 266469221912.000000| 166625247232.000000| 242195775488.000000| 1575515455488.000000| 676283| 39740| 32084| 25121|  139| 28393| 46285| 105654| 59369| 68596| 127072| 58475| 50368| 97407| 47039| 47976| 99823| 51847| 42006| 74363| 32357| 18765| 29276| 10511| 8619| 13913| 5294| 2520| 3303|  784| 125337| 550946| 232724| 197230| 120993| 471959| 78987| 17355| 7.989062
MP| 2359.200000| 3272.600000| 19081.400000| 26469.900000| 19081.400000| 26469.900000| 6249.100000| 8668.800000| 40663.300000| 56408.400000| 16722.300000| 23197.200000| 39068.200000| 54195.600000|    0|    0|    0|    0|    0|    0| 0.906793|    0|    0|    0|    0|    0|    0|    0| 116984056| 946191383| 946191360| 309875584| 2016372866| 829207296| 829207296| 2247150848.000000| 49587| 3116| 3714| 4151|    0| 2860| 3624| 7444| 3821| 1994| 3716| 1722| 2630| 6810| 4180| 5192| 9740| 4548| 3668| 5917| 2250| 1234| 1737|  503|  261|  359|   98|   23|   26|    3| 13841| 35746| 11160| 16549| 8038| 31375| 4370|  384|    1
MR| 7467.300000| 15934.700000| 76158.100000| 162516.600000| 75430.100000| 160963.100000|-13109|-27973.800000| 138575.200000| 295710.700000| 68690.800000| 146581.900000| 198613.300000| 423828.200000| 6.121730| 4.185115| 9.167155| 0.122790| 4.062325| 7.187190| 0.896690| 1.316598| 0.900091| 1.971576| 0.026408| 0.873682| 2.419429| 1.545746| 33592346624.000000| 342605168640.000000| 339330236416.000000|-58972225536.000000| 623394840826.000000| 309012824064.000000| 305737891840.000000| 834510192640.000000| 4498604| 682346| 640326| 583660|   30| 484148| 403703| 745288| 341585| 287658| 526764| 239105| 196219| 360572| 164352| 134847| 242831| 107984| 84005| 144710| 60705| 40904| 66316| 25412| 13531| 19303| 5772| 1933| 2316|  382| 2390480| 2108124| 1272050| 603402| 232672| 1959456| 148667| 21647| 37.189167
MS| 4872.600000| 6167.800000| 40062.900000| 50712.500000| 41233.600000| 52194.500000| 41776.500000| 52881.700000| 25959.700000| 32860.300000| 35190.300000| 44544.700000| 44120.900000| 55849.300000|    0|    0|    0|    0|    0|    0| 1.001148|    0|    0|    0|    0|    0|    0|    0| 21926506| 180282857| 185551360| 187994384| 116818518| 158356352| 163624864| 386538464| 4500|  192|  167|  277|    0|  309|  357|  622|  266|  251|  509|  258|  276|  647|  371|  389|  747|  358|  281|  576|  294|  218|  339|  121|   83|  111|   27|    6|    9|    3|  945| 3555| 1130| 1393| 1032| 2804|  751|  119| 2.700000
MT| 4203.700000| 5090| 29284.800000| 35458.700000| 27137.300000| 32858.500000| 7906| 9572.800000| 62757.600000| 75988.400000| 25081| 30368.700000| 124013.700000| 150158.700000| 4.533027| 5.418653| 6.375131| 4.020253| 1.398400| 0.611739| 0.884814| 10.266333| 12.272084| 14.438302| 9.105009| 3.167076| 4.552533| 1.385457| 2166425344.000000| 15092135053.000000| 13985429504.000000| 4074427904.000000| 32342639042.000000| 12925709312.000000| 11819003904.000000| 67985813504.000000| 515358| 23472| 22977| 21573|  141| 21711| 32016| 77992| 45975| 47684| 90107| 42424| 37905| 70522| 32618| 28441| 58976| 30535| 30931| 58732| 27802| 28137| 46245| 18108| 12303| 19421| 7118| 2716| 3493|  777| 89732| 425626| 168098| 129498| 128031| 328525| 97100| 23054| 0.875506
